1-a.wav,"eles invalidaram esta volta, limites da pista"
10-a.wav,"limites da pista, esta volta será apagada"
12-a.wav,"esta volta não contará, tu cortou a pista"
1_rq_suffix_please-a.wav,"tenha cuidado com esses limites da pista"
2-a.wav,"limites da pista, esta volta será apagada"
20-a.wav,"limites da pista, esta volta será deletada"
21-a.wav,"eles vão deletar essa volta, tu cortou a pista"
24-a.wav,"esta volta será anulada, fique atento aos limites da pista"
2_op_prefix_ok-a.wav,"nós precisamos monitorar os limites da pista"
3-a.wav,"eles irão deletar essa volta, limites da pista"
3_op_prefix_ok-a.wav,"nós precisamos observar esses limites da pista"
4-a.wav,"tu está fora dos limites da pista aí"
4_rq_suffix_please-a.wav,"observe os limites da pista"
5-a.wav,"limites da pista, mantenha se entre as linhas"
6-a.wav,"limites da pista"
7-a.wav,"limites da pista, isso invalidará essa volta"
8-a.wav,"tu saiu dos limites da pista aí"
